,Date,Open,High,Low,Close,Adj Close,Volume,lof,dbscan,isof
11,2012-06-20,2750.0,2776.5,2726.0,2766.5,1856.341064453125,4396727,1,-1,-1
17,2012-06-28,2808.5,2842.5,2793.5,2828.5,1897.943603515625,3916377,-1,0,-1
19,2012-07-02,2818.5,2882.0,2818.5,2882.0,1933.8424072265625,3946688,-1,0,-1
37,2012-07-26,2879.5,2930.5,2845.5,2913.5,1954.9796142578125,5854955,1,-1,-1
83,2012-10-01,2958.5,2971.618896484375,2874.5,2925.0,2000.39404296875,5638197,1,-1,-1
104,2012-10-30,2903.0,2930.0,2894.5,2918.5,1995.9483642578125,810571,-1,-1,1
145,2012-12-28,2932.0,2938.5,2908.0,2913.5,1992.5291748046875,890766,-1,-1,1
199,2013-03-15,3074.5,3083.0,3050.930908203125,3069.5,2186.50341796875,5700907,1,-1,-1
481,2014-04-29,4620.0,4682.5,4563.0400390625,4632.5,3458.654052734375,7411943,-1,-1,1
496,2014-05-21,4313.5,4459.0,4264.0,4420.0,3300.000244140625,7799807,-1,-1,1
499,2014-05-27,4225.0,4282.0,4207.5,4252.0,3174.570556640625,6094063,-1,-1,1
508,2014-06-09,4329.0,4340.0,4302.5,4327.0,3230.56591796875,910414,-1,-1,1
583,2014-09-23,4433.0,4441.0,4276.55322265625,4414.0,3338.454345703125,6560455,-1,-1,1
702,2015-03-12,4333.5,4501.5,4317.5,4479.0,3484.7373046875,6622307,-1,-1,1
931,2016-02-08,4126.0,4130.5,3901.5,3906.0,3080.23388671875,6369908,-1,-1,1
1050,2016-07-28,4649.5,5052.0,4637.05078125,5027.0,4089.425048828125,6918234,-1,-1,1
1249,2017-05-12,4985.0,5202.0,4852.419921875,5176.0,4408.828125,7078800,-1,-1,1
1285,2017-07-04,5143.0,5254.9609375,5106.0,5111.0,4353.4619140625,778672,-1,-1,1
1290,2017-07-11,5130.0,5130.0,5130.0,5130.0,4369.64599609375,0,-1,-1,1
1782,2019-06-21,6477.0,6493.0,6313.0,6378.0,5876.83642578125,6156648,1,-1,-1
1791,2019-07-04,6606.0,6611.0,6548.0,6578.0,6061.12060546875,925371,-1,-1,1
1828,2019-08-27,7255.0,7295.0,7152.0,7240.0,6739.13720703125,6546968,-1,-1,1
1894,2019-11-27,7583.0,7611.0,7490.0,7529.0,7008.14404296875,931239,-1,-1,1
1910,2019-12-19,7510.0,7634.0,7486.0,7634.0,7105.88037109375,6567365,-1,-1,1
1914,2019-12-27,7706.0,7781.0,7641.0,7745.0,7209.20166015625,862283,-1,-1,1
1968,2020-03-13,6504.0,6801.0,6186.0,6316.0,5997.55419921875,5274344,1,-1,-1
1970,2020-03-17,6522.0,7517.7998046875,6319.0,6721.0,6382.1337890625,5716921,1,-1,-1
2055,2020-07-20,9639.0,10120.0,9010.0,9320.0,8850.095703125,6160168,1,-1,-1
2167,2020-12-24,7250.0,7326.0,7217.0,7223.0,6914.1435546875,744212,-1,-1,1
2297,2021-07-05,8751.0,8777.0,8663.60546875,8678.0,8470.38671875,908882,-1,-1,1
2341,2021-09-06,8552.0,8666.0,8520.0,8645.0,8505.5556640625,800437,-1,-1,1
2346,2021-09-13,8193.0,8226.0,8074.0,8098.0,7967.37841796875,67933,-1,-1,1
2355,2021-09-24,8900.0,8982.0,8825.935546875,8845.0,8702.3291015625,4861722,1,-1,-1
2381,2021-11-01,9177.0,9189.0,8972.1103515625,9138.0,8990.603515625,1191987,-1,0,-1
2383,2021-11-03,9393.0,9444.0,9300.0,9340.0,9189.3447265625,1646165,-1,0,-1
2384,2021-11-04,9333.0,9475.0,9325.248046875,9443.0,9290.68359375,1936557,-1,0,-1
2386,2021-11-08,9331.0,9441.0,9313.0,9331.0,9180.490234375,1050140,-1,0,-1
2420,2021-12-24,8613.0,8676.0,8608.4873046875,8611.0,8472.103515625,234238,-1,-1,1
2451,2022-02-10,8500.0,8801.0,8500.0,8650.0,8510.474609375,5701787,1,-1,-1
2478,2022-03-21,9487.0,9701.0,9482.0,9629.0,9629.0,1728666,-1,0,-1
2483,2022-03-28,9860.0,9998.0,9840.0,9894.0,9894.0,1488881,-1,0,-1
2486,2022-03-31,10174.0,10262.0,10132.0,10132.0,10132.0,2293648,-1,0,-1
2487,2022-04-01,10134.0,10136.0,9947.0,10076.0,10076.0,1726028,-1,0,-1
2492,2022-04-08,10734.0,11000.0,10713.23828125,10930.0,10930.0,2542196,-1,0,-1
2493,2022-04-11,10888.0,10950.0,10746.0,10858.0,10858.0,2561255,-1,0,-1
2495,2022-04-13,10608.0,10640.419921875,10464.099609375,10510.0,10510.0,2102995,-1,0,-1
2496,2022-04-14,10432.0,10574.0,10392.0,10536.0,10536.0,1980089,-1,0,-1
2500,2022-04-22,10282.0,10408.349609375,10260.0,10280.0,10280.0,2235621,-1,0,-1
2504,2022-04-28,10550.0,10660.0,10512.0,10562.0,10562.0,2289793,-1,0,-1
2506,2022-05-03,10498.0,10710.0,10472.0,10684.0,10684.0,2234172,-1,0,-1
2507,2022-05-04,10792.0,10792.0,10458.0,10506.0,10506.0,2213731,-1,0,-1
2508,2022-05-05,10532.0,10632.0,10478.0,10512.0,10512.0,2501672,-1,0,-1
2509,2022-05-06,10464.0,10474.0,10222.0,10322.0,10322.0,2591818,-1,0,-1
2515,2022-05-16,10178.0,10466.0,10136.0,10466.0,10466.0,2366936,-1,0,-1
2516,2022-05-17,10460.0,10532.0,10396.0,10488.0,10488.0,2102049,-1,0,-1
2518,2022-05-19,10182.0,10276.0,10088.0,10250.0,10250.0,2367764,-1,0,-1
2520,2022-05-23,10564.0,10634.0,10454.0,10600.0,10600.0,2274183,-1,0,-1
2521,2022-05-24,10470.0,10666.0,10470.0,10598.0,10598.0,1817364,-1,0,-1
2524,2022-05-27,10552.0,10612.0,10454.0,10580.0,10580.0,1192233,-1,0,-1
